device_profile_id,DeviceInfo,id_30,id_31,id_33
SM-J320H|UNK|chrome 62.0 for android|UNK,SM-J320H,,chrome 62.0 for android,
UNK|Linux|chrome 62.0|2220x1080,,Linux,chrome 62.0,2220x1080
MacOS|Mac OS X 10_6_8|chrome 49.0|1920x1080,MacOS,Mac OS X 10_6_8,chrome 49.0,1920x1080
SAMSUNG SM-G950U Build/NRD90M|Android 7.0|samsung browser 6.2|UNK,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,
BLADE V8 SE Build/NRD90M|UNK|chrome 62.0 for android|UNK,BLADE V8 SE Build/NRD90M,,chrome 62.0 for android,
Trident/7.0|Windows 10|ie 11.0 for desktop|1440x900,Trident/7.0,Windows 10,ie 11.0 for desktop,1440x900
iOS Device|iOS 11.2.0|mobile safari 11.0|2208x1242,iOS Device,iOS 11.2.0,mobile safari 11.0,2208x1242
SM-N920T Build/NRD90M|Android 7.0|chrome 62.0 for android|UNK,SM-N920T Build/NRD90M,Android 7.0,chrome 62.0 for android,
MacOS|Mac OS X 10_12_6|chrome 62.0|1280x800,MacOS,Mac OS X 10_12_6,chrome 62.0,1280x800
LG-H542 Build/MRA58K|UNK|chrome 52.0 for android|UNK,LG-H542 Build/MRA58K,,chrome 52.0 for android,
Windows|Windows 8|chrome 62.0|1920x1080,Windows,Windows 8,chrome 62.0,1920x1080
MacOS|Mac OS X 10_11_3|safari generic|1920x1080,MacOS,Mac OS X 10_11_3,safari generic,1920x1080
UNK|Linux|chrome 61.0|1920x1080,,Linux,chrome 61.0,1920x1080
rv:52.0|Windows 7|firefox 52.0|1600x900,rv:52.0,Windows 7,firefox 52.0,1600x900
SM-G900V Build/MMB29M|Android 6.0.1|chrome 57.0 for android|1920x1080,SM-G900V Build/MMB29M,Android 6.0.1,chrome 57.0 for android,1920x1080
iOS Device|iOS 11.2.0|mobile safari generic|2048x1536,iOS Device,iOS 11.2.0,mobile safari generic,2048x1536
MacOS|Mac OS X 10_8_5|safari generic|2880x1800,MacOS,Mac OS X 10_8_5,safari generic,2880x1800
MacOS|Mac OS X 10_10_5|chrome 61.0|1280x800,MacOS,Mac OS X 10_10_5,chrome 61.0,1280x800
SM-T330NU Build/LMY47X|Android 5.1.1|chrome 61.0 for android|UNK,SM-T330NU Build/LMY47X,Android 5.1.1,chrome 61.0 for android,
UNK|UNK|chrome 51.0|UNK,,,chrome 51.0,
SAMSUNG SM-J500M Build/LMY48B|UNK|other|UNK,SAMSUNG SM-J500M Build/LMY48B,,other,
iOS Device|iOS 10.0.2|mobile safari 10.0|2048x1536,iOS Device,iOS 10.0.2,mobile safari 10.0,2048x1536
LG-M322|Android 7.0|chrome 62.0 for android|1280x720,LG-M322,Android 7.0,chrome 62.0 for android,1280x720
CHC-U03 Build/HuaweiCHC-U03|UNK|chrome 62.0 for android|UNK,CHC-U03 Build/HuaweiCHC-U03,,chrome 62.0 for android,
Windows|Windows 10|firefox 57.0|1280x1024,Windows,Windows 10,firefox 57.0,1280x1024
Windows|Windows 10|chrome 62.0|2304x1440,Windows,Windows 10,chrome 62.0,2304x1440
HTC Desire 650 Build/MMB29M|UNK|chrome 60.0 for android|UNK,HTC Desire 650 Build/MMB29M,,chrome 60.0 for android,
SAMSUNG|Android 6.0.1|samsung browser 6.2|2562x1442,SAMSUNG,Android 6.0.1,samsung browser 6.2,2562x1442
iOS Device|iOS 11.1.1|mobile safari generic|2208x1242,iOS Device,iOS 11.1.1,mobile safari generic,2208x1242
iOS Device|iOS|mobile safari 9.0|2048x1536,iOS Device,iOS,mobile safari 9.0,2048x1536
iOS Device|iOS 11.1.1|mobile safari 11.0|2224x1668,iOS Device,iOS 11.1.1,mobile safari 11.0,2224x1668
UNK|Linux|chrome 62.0|2560x1440,,Linux,chrome 62.0,2560x1440
Windows|Windows 10|chrome 62.0|1280x800,Windows,Windows 10,chrome 62.0,1280x800
SAMSUNG-SM-G935A Build/NRD90M|Android 7.0|chrome 57.0 for android|2560x1440,SAMSUNG-SM-G935A Build/NRD90M,Android 7.0,chrome 57.0 for android,2560x1440
Windows|Windows 10|chrome 62.0|2160x1440,Windows,Windows 10,chrome 62.0,2160x1440
SM-G925I Build/NRD90M|UNK|chrome 62.0 for android|UNK,SM-G925I Build/NRD90M,,chrome 62.0 for android,
iOS Device|iOS 11.0.2|mobile safari 11.0|2048x1536,iOS Device,iOS 11.0.2,mobile safari 11.0,2048x1536
MacOS|Mac OS X 10_9_5|safari generic|2560x1600,MacOS,Mac OS X 10_9_5,safari generic,2560x1600
LG-K200 Build/MXB48T|UNK|chrome 62.0 for android|UNK,LG-K200 Build/MXB48T,,chrome 62.0 for android,
Aquaris|UNK|chrome 61.0 for android|UNK,Aquaris,,chrome 61.0 for android,
SM-J710MN Build/MMB29K|UNK|chrome 62.0 for android|UNK,SM-J710MN Build/MMB29K,,chrome 62.0 for android,
Windows|Windows Vista|firefox 52.0|1280x600,Windows,Windows Vista,firefox 52.0,1280x600
MacOS|Mac OS X 10_12_6|safari generic|3360x2100,MacOS,Mac OS X 10_12_6,safari generic,3360x2100
SM-J120H Build/LMY47V|UNK|chrome 61.0 for android|UNK,SM-J120H Build/LMY47V,,chrome 61.0 for android,
Alcatel_4060A|Android 5.1.1|chrome generic|855x480,Alcatel_4060A,Android 5.1.1,chrome generic,855x480
MacOS|Mac OS X 10_12_4|safari generic|3360x2100,MacOS,Mac OS X 10_12_4,safari generic,3360x2100
iOS Device|iOS 10.2.1|mobile safari generic|2048x1536,iOS Device,iOS 10.2.1,mobile safari generic,2048x1536
LGMS631 Build/MRA58K|Android 6.0|chrome 62.0 for android|1280x720,LGMS631 Build/MRA58K,Android 6.0,chrome 62.0 for android,1280x720
SM-J510MN Build/MMB29M|UNK|chrome 61.0 for android|UNK,SM-J510MN Build/MMB29M,,chrome 61.0 for android,
Windows|UNK|edge 16.0|UNK,Windows,,edge 16.0,
MOT-A6020l37 Build/LMY47V|UNK|other|UNK,MOT-A6020l37 Build/LMY47V,,other,
SAMSUNG|Android 5.1.1|chrome generic|1920x1080,SAMSUNG,Android 5.1.1,chrome generic,1920x1080
5011A Build/NRD90M|UNK|chrome 56.0 for android|UNK,5011A Build/NRD90M,,chrome 56.0 for android,
Windows|Windows 10|chrome 61.0|1366x768,Windows,Windows 10,chrome 61.0,1366x768
Windows|Windows 10|edge 15.0|1024x768,Windows,Windows 10,edge 15.0,1024x768
SM-T550 Build/NMF26X|Android 7.1.1|chrome 62.0 for android|1024x768,SM-T550 Build/NMF26X,Android 7.1.1,chrome 62.0 for android,1024x768
MacOS|Mac OS X 10_13_2|chrome 62.0|1440x900,MacOS,Mac OS X 10_13_2,chrome 62.0,1440x900
Windows|Windows Vista|chrome 49.0|1280x1024,Windows,Windows Vista,chrome 49.0,1280x1024
rv:57.0|UNK|firefox 57.0|UNK,rv:57.0,,firefox 57.0,
Moto G (5) Plus Build/NPNS25.137-15-11|UNK|chrome generic|UNK,Moto G (5) Plus Build/NPNS25.137-15-11,,chrome generic,
E6603 Build/32.4.A.1.54|UNK|chrome 62.0 for android|UNK,E6603 Build/32.4.A.1.54,,chrome 62.0 for android,
Redmi 4A Build/MMB29M|UNK|chrome 62.0 for android|UNK,Redmi 4A Build/MMB29M,,chrome 62.0 for android,
Windows|UNK|opera 49.0|UNK,Windows,,opera 49.0,
iOS Device|iOS 11.2.0|mobile safari 11.0|2001x1125,iOS Device,iOS 11.2.0,mobile safari 11.0,2001x1125
rv:55.0|Mac OS X 10.10|firefox 55.0|1920x1080,rv:55.0,Mac OS X 10.10,firefox 55.0,1920x1080
SM-T520|Android 4.4.2|chrome 62.0 for android|2560x1600,SM-T520,Android 4.4.2,chrome 62.0 for android,2560x1600
Trident/7.0|Windows 7|ie 11.0 for desktop|1024x768,Trident/7.0,Windows 7,ie 11.0 for desktop,1024x768
SM-G920V Build/NRD90M|Android 7.0|chrome 56.0 for android|2560x1440,SM-G920V Build/NRD90M,Android 7.0,chrome 56.0 for android,2560x1440
HTC Desire 10 lifestyle Build/MMB29M|UNK|chrome 62.0 for android|UNK,HTC Desire 10 lifestyle Build/MMB29M,,chrome 62.0 for android,
SM-A720F Build/MMB29K|UNK|chrome 62.0 for android|UNK,SM-A720F Build/MMB29K,,chrome 62.0 for android,
Moto G (5S|UNK|chrome generic|UNK,Moto G (5S,,chrome generic,
SM-G925I Build/LMY47X|UNK|chrome 62.0 for android|UNK,SM-G925I Build/LMY47X,,chrome 62.0 for android,
SM-G930R4 Build/NRD90M|Android 7.0|chrome 62.0 for android|1920x1080,SM-G930R4 Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080
iOS Device|iOS 11.1.0|mobile safari generic|2208x1242,iOS Device,iOS 11.1.0,mobile safari generic,2208x1242
LG-K410 Build/LRX22G|UNK|chrome 61.0 for android|UNK,LG-K410 Build/LRX22G,,chrome 61.0 for android,
MacOS|Mac OS X 10_13_1|chrome 62.0|2880x1620,MacOS,Mac OS X 10_13_1,chrome 62.0,2880x1620
SAMSUNG SM-G610M Build/MMB29K|UNK|samsung browser 6.2|UNK,SAMSUNG SM-G610M Build/MMB29K,,samsung browser 6.2,
Lenovo K33b36 Build/NRD90N|UNK|chrome 62.0 for android|UNK,Lenovo K33b36 Build/NRD90N,,chrome 62.0 for android,
UNK|Android|chrome 61.0|1366x768,,Android,chrome 61.0,1366x768
SM-G930U Build/NRD90M|UNK|chrome 62.0 for android|UNK,SM-G930U Build/NRD90M,,chrome 62.0 for android,
MacOS|Mac OS X 10_10_5|chrome 60.0|1280x800,MacOS,Mac OS X 10_10_5,chrome 60.0,1280x800
Moto Z2 Play Build/NPS26.118-19|UNK|chrome 62.0 for android|UNK,Moto Z2 Play Build/NPS26.118-19,,chrome 62.0 for android,
iOS Device|iOS 10.3.2|chrome 62.0 for ios|2732x2048,iOS Device,iOS 10.3.2,chrome 62.0 for ios,2732x2048
SAMSUNG SM-N950U Build/NMF26X|Android 7.1.1|samsung browser 6.2|UNK,SAMSUNG SM-N950U Build/NMF26X,Android 7.1.1,samsung browser 6.2,
5012G Build/MRA58K|UNK|chrome 62.0 for android|UNK,5012G Build/MRA58K,,chrome 62.0 for android,
MacOS|Mac OS X 10_11_6|chrome 62.0|1920x1200,MacOS,Mac OS X 10_11_6,chrome 62.0,1920x1200
rv:52.0|Windows Vista|firefox 52.0|1366x768,rv:52.0,Windows Vista,firefox 52.0,1366x768
rv:57.0|Mac OS X 10.12|firefox 57.0|1920x1200,rv:57.0,Mac OS X 10.12,firefox 57.0,1920x1200
SM-A320FL Build/MMB29K|UNK|chrome 62.0 for android|UNK,SM-A320FL Build/MMB29K,,chrome 62.0 for android,
Windows|Windows 7|chrome|1366x768,Windows,Windows 7,chrome,1366x768
rv:11.0|Windows 7|ie 11.0 for desktop|1920x1080,rv:11.0,Windows 7,ie 11.0 for desktop,1920x1080
LG-M250 Build/NRD90U|UNK|chrome 62.0 for android|UNK,LG-M250 Build/NRD90U,,chrome 62.0 for android,
KFSAWI|Android 5.1.1|chrome generic|2560x1600,KFSAWI,Android 5.1.1,chrome generic,2560x1600
rv:11.0|Windows 7|ie 11.0 for desktop|1440x900,rv:11.0,Windows 7,ie 11.0 for desktop,1440x900
MacOS|Mac OS X 10_13_1|chrome 59.0|2560x1600,MacOS,Mac OS X 10_13_1,chrome 59.0,2560x1600
SAMSUNG SM-G930F Build/NRD90M|UNK|samsung browser 6.2|UNK,SAMSUNG SM-G930F Build/NRD90M,,samsung browser 6.2,
MacOS|Mac OS X 10_12_3|safari generic|1920x1080,MacOS,Mac OS X 10_12_3,safari generic,1920x1080
Lenovo K33b36 Build/MMB29M|UNK|chrome 61.0 for android|UNK,Lenovo K33b36 Build/MMB29M,,chrome 61.0 for android,
MacOS|Mac OS X 10_10_5|chrome 62.0|1680x1050,MacOS,Mac OS X 10_10_5,chrome 62.0,1680x1050
SAMSUNG SM-N920V Build/NRD90M|Android 7.0|samsung browser 6.2|UNK,SAMSUNG SM-N920V Build/NRD90M,Android 7.0,samsung browser 6.2,
Windows NT 6.1|UNK|ie|UNK,Windows NT 6.1,,ie,
Windows NT 6.1|Windows 7|ie|1920x1080,Windows NT 6.1,Windows 7,ie,1920x1080
MacOS|Mac OS X 10_12_2|safari generic|1280x800,MacOS,Mac OS X 10_12_2,safari generic,1280x800
Windows|Windows 7|chrome 60.0|1366x768,Windows,Windows 7,chrome 60.0,1366x768
Windows|Windows 10|chrome 62.0|1152x864,Windows,Windows 10,chrome 62.0,1152x864
Windows|Windows 10|chrome 62.0|1400x1050,Windows,Windows 10,chrome 62.0,1400x1050
rv:45.0|Windows 10|firefox|1920x1080,rv:45.0,Windows 10,firefox,1920x1080
MacOS|Mac OS X 10_11_6|chrome 61.0|1920x1200,MacOS,Mac OS X 10_11_6,chrome 61.0,1920x1200
MacOS|Mac OS X 10_12_5|chrome 61.0|2560x1600,MacOS,Mac OS X 10_12_5,chrome 61.0,2560x1600
SAMSUNG-SM-J327A Build/NRD90M|Android 7.0|chrome 62.0 for android|1280x720,SAMSUNG-SM-J327A Build/NRD90M,Android 7.0,chrome 62.0 for android,1280x720
Windows|Windows 7|chrome 62.0|1280x720,Windows,Windows 7,chrome 62.0,1280x720
SM-G935V Build/NRD90M|Android 7.0|chrome 62.0 for android|1920x1080,SM-G935V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080
Windows|Windows 10|edge|1366x768,Windows,Windows 10,edge,1366x768
MDDRJS|Windows 7|ie 11.0 for desktop|1024x768,MDDRJS,Windows 7,ie 11.0 for desktop,1024x768
Windows|Windows 8.1|chrome 58.0|UNK,Windows,Windows 8.1,chrome 58.0,
MacOS|Mac OS X 10_8_5|chrome 49.0|1920x1080,MacOS,Mac OS X 10_8_5,chrome 49.0,1920x1080
Windows|Windows 10|edge 16.0|1680x1050,Windows,Windows 10,edge 16.0,1680x1050
Windows|Windows 7|chrome 59.0|1440x900,Windows,Windows 7,chrome 59.0,1440x900
Windows|Windows 10|edge 14.0|1600x900,Windows,Windows 10,edge 14.0,1600x900
rv:57.0|Mac OS X 10.12|firefox 57.0|3840x2400,rv:57.0,Mac OS X 10.12,firefox 57.0,3840x2400
MacOS|Mac OS X 10_12_6|chrome 61.0|2560x1600,MacOS,Mac OS X 10_12_6,chrome 61.0,2560x1600
rv:11.0|Windows 7|ie 11.0 for desktop|1680x1050,rv:11.0,Windows 7,ie 11.0 for desktop,1680x1050
SAMSUNG|Android|chrome generic|1920x1080,SAMSUNG,Android,chrome generic,1920x1080
Windows|Windows 7|chrome 62.0|1600x1200,Windows,Windows 7,chrome 62.0,1600x1200
SM-G935P Build/NRD90M|Android 7.0|chrome 62.0 for android|1920x1080,SM-G935P Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080
Windows|Windows 8.1|chrome 62.0|2400x1350,Windows,Windows 8.1,chrome 62.0,2400x1350
MacOS|Mac OS X 10_10_5|chrome 62.0|2048x1152,MacOS,Mac OS X 10_10_5,chrome 62.0,2048x1152
UNK|UNK|firefox 52.0|UNK,,,firefox 52.0,
SM-G930P Build/NRD90M|Android 7.0|chrome 62.0 for android|1920x1080,SM-G930P Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080
MacOS|Mac OS X 10_12_6|chrome 62.0|4096x2304,MacOS,Mac OS X 10_12_6,chrome 62.0,4096x2304
Windows|Windows Vista|opera|1440x900,Windows,Windows Vista,opera,1440x900
MacOS|Mac OS X 10_12_6|chrome 63.0|2560x1440,MacOS,Mac OS X 10_12_6,chrome 63.0,2560x1440
Windows|Windows 7|ie 11.0 for desktop|1366x768,Windows,Windows 7,ie 11.0 for desktop,1366x768
Windows|Windows 7|firefox 57.0|1280x960,Windows,Windows 7,firefox 57.0,1280x960
Windows|Windows 7|ie 11.0 for desktop|1280x1024,Windows,Windows 7,ie 11.0 for desktop,1280x1024
SM-G928V Build/NRD90M|Android 7.0|chrome 62.0 for android|UNK,SM-G928V Build/NRD90M,Android 7.0,chrome 62.0 for android,
Windows|Windows 7|chrome 61.0|1680x1050,Windows,Windows 7,chrome 61.0,1680x1050
rv:57.0|Android 7.0|Generic/Android 7.0|UNK,rv:57.0,Android 7.0,Generic/Android 7.0,
Windows|Windows 7|firefox 57.0|UNK,Windows,Windows 7,firefox 57.0,
Windows|Windows 10|chrome 62.0|3201x1800,Windows,Windows 10,chrome 62.0,3201x1800
LG-M210 Build/NRD90U|Android 7.0|chrome 62.0 for android|1280x720,LG-M210 Build/NRD90U,Android 7.0,chrome 62.0 for android,1280x720
Blade V580 Build/LMY47D|UNK|chrome 62.0 for android|UNK,Blade V580 Build/LMY47D,,chrome 62.0 for android,
Ilium LT500 Build/LMY47O|UNK|chrome 60.0 for android|UNK,Ilium LT500 Build/LMY47O,,chrome 60.0 for android,
MacOS|Mac OS X 10_11_6|chrome 60.0|2560x1440,MacOS,Mac OS X 10_11_6,chrome 60.0,2560x1440
MacOS|Mac OS X 10_9_5|safari generic|1366x768,MacOS,Mac OS X 10_9_5,safari generic,1366x768
Y635-L03 Build/HuaweiY635-L03|UNK|chrome 62.0 for android|UNK,Y635-L03 Build/HuaweiY635-L03,,chrome 62.0 for android,
rv:56.0|Windows 8.1|firefox 56.0|1600x900,rv:56.0,Windows 8.1,firefox 56.0,1600x900
Trident/7.0|Windows 7|ie 11.0 for desktop|2560x1080,Trident/7.0,Windows 7,ie 11.0 for desktop,2560x1080
MacOS|Mac OS X 10_11_5|safari generic|1440x900,MacOS,Mac OS X 10_11_5,safari generic,1440x900
Trident/7.0|Windows 7|ie 11.0 for desktop|1280x800,Trident/7.0,Windows 7,ie 11.0 for desktop,1280x800
XT1635-01 Build/NDNS26.118-23-12-3|Android 7.1.1|chrome 62.0 for android|UNK,XT1635-01 Build/NDNS26.118-23-12-3,Android 7.1.1,chrome 62.0 for android,
MacOS|Mac OS X 10_8_5|chrome 49.0|1440x900,MacOS,Mac OS X 10_8_5,chrome 49.0,1440x900
rv:42.0|Windows 7|firefox|1366x768,rv:42.0,Windows 7,firefox,1366x768
SAMSUNG SM-G925T Build/NRD90M|Android 7.0|samsung browser 6.2|2560x1440,SAMSUNG SM-G925T Build/NRD90M,Android 7.0,samsung browser 6.2,2560x1440
Windows|Windows 7|chrome|1280x1024,Windows,Windows 7,chrome,1280x1024
rv:56.0|Windows 10|firefox|1680x1050,rv:56.0,Windows 10,firefox,1680x1050
MacOS|Mac OS X 10_10_5|safari generic|2880x1800,MacOS,Mac OS X 10_10_5,safari generic,2880x1800
SAMSUNG-SM-G900A Build/LRX21T|Android 5.0|chrome 62.0 for android|1920x1080,SAMSUNG-SM-G900A Build/LRX21T,Android 5.0,chrome 62.0 for android,1920x1080
Windows|Windows 10|edge 15.0|1920x1200,Windows,Windows 10,edge 15.0,1920x1200
Windows|Windows 8.1|chrome 62.0|2560x1440,Windows,Windows 8.1,chrome 62.0,2560x1440
Moto Z (2|Android 7.1.1|chrome generic|2560x1440,Moto Z (2,Android 7.1.1,chrome generic,2560x1440
iOS Device|iOS 10.2.0|mobile safari 10.0|1334x750,iOS Device,iOS 10.2.0,mobile safari 10.0,1334x750
iOS Device|iOS 9.3.5|mobile safari generic|2048x1536,iOS Device,iOS 9.3.5,mobile safari generic,2048x1536
SM-G360T1 Build/LMY47X|UNK|chrome 53.0 for android|UNK,SM-G360T1 Build/LMY47X,,chrome 53.0 for android,
Windows|Windows Vista|chrome 49.0|1280x720,Windows,Windows Vista,chrome 49.0,1280x720
SM-S903VL|Android 6.0.1|chrome 62.0 for android|1920x1080,SM-S903VL,Android 6.0.1,chrome 62.0 for android,1920x1080
Windows|Windows 10|edge|1920x1080,Windows,Windows 10,edge,1920x1080
iOS Device|iOS 10.2.0|mobile safari generic|2208x1242,iOS Device,iOS 10.2.0,mobile safari generic,2208x1242
SAMSUNG SM-G920A Build/NRD90M|Android 7.0|samsung browser 6.2|2560x1440,SAMSUNG SM-G920A Build/NRD90M,Android 7.0,samsung browser 6.2,2560x1440
UNK|Android|chrome 62.0|855x480,,Android,chrome 62.0,855x480
HUAWEI VNS-L23 Build/HUAWEIVNS-L23|UNK|chrome 62.0 for android|UNK,HUAWEI VNS-L23 Build/HUAWEIVNS-L23,,chrome 62.0 for android,
rv:52.0|UNK|firefox 52.0|UNK,rv:52.0,,firefox 52.0,
LG-H811 Build/MRA58K|Android 6.0|chrome 62.0 for android|2560x1440,LG-H811 Build/MRA58K,Android 6.0,chrome 62.0 for android,2560x1440
MacOS|Mac OS X 10_12_5|chrome 62.0|1280x800,MacOS,Mac OS X 10_12_5,chrome 62.0,1280x800
Windows|UNK|chrome 56.0|UNK,Windows,,chrome 56.0,
iOS Device|iOS 10.3.1|mobile safari 10.0|2048x1536,iOS Device,iOS 10.3.1,mobile safari 10.0,2048x1536
M4 SS4456 Build/LMY47V|UNK|chrome 62.0 for android|UNK,M4 SS4456 Build/LMY47V,,chrome 62.0 for android,
SAMSUNG-SM-T337A Build/LMY47X|Android 5.1.1|chrome 62.0 for android|UNK,SAMSUNG-SM-T337A Build/LMY47X,Android 5.1.1,chrome 62.0 for android,
SAMSUNG SM-G955U Build/NRD90M|Android 7.0|samsung browser 6.2|UNK,SAMSUNG SM-G955U Build/NRD90M,Android 7.0,samsung browser 6.2,
SM-G900P Build/MMB29M|Android 6.0.1|android webview 4.0|1920x1080,SM-G900P Build/MMB29M,Android 6.0.1,android webview 4.0,1920x1080
SM-G800F Build/KOT49H|UNK|chrome 62.0 for android|UNK,SM-G800F Build/KOT49H,,chrome 62.0 for android,
MacOS|Mac OS X 10_10_5|chrome 62.0|5120x2880,MacOS,Mac OS X 10_10_5,chrome 62.0,5120x2880
BNTV400|Android|chrome generic for android|1356x900,BNTV400,Android,chrome generic for android,1356x900
HUAWEI VNS-L21 Build/HUAWEIVNS-L21|UNK|chrome 62.0 for android|UNK,HUAWEI VNS-L21 Build/HUAWEIVNS-L21,,chrome 62.0 for android,
Windows|Windows 7|firefox 57.0|1360x768,Windows,Windows 7,firefox 57.0,1360x768
ONEPLUS A5000 Build/NMF26X|UNK|chrome 62.0 for android|UNK,ONEPLUS A5000 Build/NMF26X,,chrome 62.0 for android,
rv:57.0|Windows 10|firefox|1600x900,rv:57.0,Windows 10,firefox,1600x900
iOS Device|iOS 11.1.0|mobile safari 11.0|2436x1125,iOS Device,iOS 11.1.0,mobile safari 11.0,2436x1125
Trident/7.0|Windows 10|ie 11.0 for desktop|2560x1080,Trident/7.0,Windows 10,ie 11.0 for desktop,2560x1080
iOS Device|iOS 11.0.1|mobile safari 11.0|1334x750,iOS Device,iOS 11.0.1,mobile safari 11.0,1334x750
MacOS|Mac OS X 10_9_5|safari generic|1920x1080,MacOS,Mac OS X 10_9_5,safari generic,1920x1080
MacOS|Mac OS X 10_12_4|chrome 61.0|1440x900,MacOS,Mac OS X 10_12_4,chrome 61.0,1440x900
HTC Desire 626s Build/LMY47O|UNK|chrome 61.0 for android|UNK,HTC Desire 626s Build/LMY47O,,chrome 61.0 for android,
SM-J510MN Build/MMB29M|UNK|chrome 60.0 for android|UNK,SM-J510MN Build/MMB29M,,chrome 60.0 for android,
rv:57.0|Mac OS X 10.11|firefox 57.0|1440x900,rv:57.0,Mac OS X 10.11,firefox 57.0,1440x900
SM-G955F Build/NRD90M|UNK|chrome 58.0 for android|UNK,SM-G955F Build/NRD90M,,chrome 58.0 for android,
MacOS|Mac OS X 10_12_5|safari generic|1920x1080,MacOS,Mac OS X 10_12_5,safari generic,1920x1080
Android 4.4.2|Android 4.4.2|other|1024x600,Android 4.4.2,Android 4.4.2,other,1024x600
XT1710-02 Build/NDSS26.118-23-15|Android 7.1.1|chrome 62.0 for android|1920x1080,XT1710-02 Build/NDSS26.118-23-15,Android 7.1.1,chrome 62.0 for android,1920x1080
MacOS|Mac OS X 10_6_8|chrome|1280x800,MacOS,Mac OS X 10_6_8,chrome,1280x800
LG-H500 Build/LRX21Y|UNK|chrome 61.0 for android|UNK,LG-H500 Build/LRX21Y,,chrome 61.0 for android,
iOS Device|iOS 10.0.2|mobile safari 10.0|2001x1125,iOS Device,iOS 10.0.2,mobile safari 10.0,2001x1125
rv:49.0|UNK|firefox|UNK,rv:49.0,,firefox,
EVA-L09 Build/HUAWEIEVA-L09|UNK|chrome 62.0 for android|UNK,EVA-L09 Build/HUAWEIEVA-L09,,chrome 62.0 for android,
MacOS|Mac OS X 10_8_5|chrome 49.0|1680x1050,MacOS,Mac OS X 10_8_5,chrome 49.0,1680x1050
MacOS|Mac OS X 10_9_5|chrome 62.0|1440x900,MacOS,Mac OS X 10_9_5,chrome 62.0,1440x900
Windows|Windows 10|firefox 57.0|2736x1824,Windows,Windows 10,firefox 57.0,2736x1824
rv:57.0|UNK|firefox|UNK,rv:57.0,,firefox,
Lenovo|UNK|chrome 62.0 for android|UNK,Lenovo,,chrome 62.0 for android,
Windows|Windows 10|edge 15.0|1280x768,Windows,Windows 10,edge 15.0,1280x768
LG-K540 Build/MMB29M|Android 6.0.1|chrome 62.0 for android|1280x720,LG-K540 Build/MMB29M,Android 6.0.1,chrome 62.0 for android,1280x720
FRD-L04 Build/HUAWEIFRD-L04|Android 7.0|chrome 62.0 for android|1920x1080,FRD-L04 Build/HUAWEIFRD-L04,Android 7.0,chrome 62.0 for android,1920x1080
Windows|Windows 8.1|chrome 62.0|1360x768,Windows,Windows 8.1,chrome 62.0,1360x768
Linux x86_64|UNK|firefox 56.0|UNK,Linux x86_64,,firefox 56.0,
SAMSUNG SM-G935T Build/NRD90M|Android 7.0|samsung browser 6.2|1920x1080,SAMSUNG SM-G935T Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080
SM-G900M Build/LRX21T|UNK|chrome 62.0 for android|UNK,SM-G900M Build/LRX21T,,chrome 62.0 for android,
rv:52.0|UNK|firefox|UNK,rv:52.0,,firefox,
Windows|Windows XP|chrome 49.0|1920x1080,Windows,Windows XP,chrome 49.0,1920x1080
SAMSUNG SM-G955U Build/NRD90M|UNK|samsung browser 6.2|UNK,SAMSUNG SM-G955U Build/NRD90M,,samsung browser 6.2,
MacOS|Mac OS X 10_11_3|chrome 62.0|2880x1800,MacOS,Mac OS X 10_11_3,chrome 62.0,2880x1800
LG-H820 Build/NRD90U|Android 7.0|chrome 62.0 for android|2560x1440,LG-H820 Build/NRD90U,Android 7.0,chrome 62.0 for android,2560x1440
MacOS|Mac OS X 10_13_1|chrome 62.0|3360x2100,MacOS,Mac OS X 10_13_1,chrome 62.0,3360x2100
Z983 Build/NMF26F|Android 7.1.1|chrome 62.0 for android|1920x1080,Z983 Build/NMF26F,Android 7.1.1,chrome 62.0 for android,1920x1080
LGLS991|Android 6.0|chrome 62.0 for android|2560x1440,LGLS991,Android 6.0,chrome 62.0 for android,2560x1440
Windows|Windows 10|edge 15.0|3840x2160,Windows,Windows 10,edge 15.0,3840x2160
rv:48.0|Mac OS X 10.6|firefox 48.0|1280x800,rv:48.0,Mac OS X 10.6,firefox 48.0,1280x800
iOS Device|iOS 9.3.5|mobile safari generic|1024x768,iOS Device,iOS 9.3.5,mobile safari generic,1024x768
rv:57.0|Mac OS X 10.13|firefox 57.0|4096x2304,rv:57.0,Mac OS X 10.13,firefox 57.0,4096x2304
SM-S120VL|Android 6.0.1|chrome 62.0 for android|801x480,SM-S120VL,Android 6.0.1,chrome 62.0 for android,801x480
iOS Device|iOS 11.1.1|mobile safari generic|2001x1125,iOS Device,iOS 11.1.1,mobile safari generic,2001x1125
Aquaris|UNK|chrome 62.0 for android|UNK,Aquaris,,chrome 62.0 for android,
Windows|Windows 8.1|chrome 58.0|1600x900,Windows,Windows 8.1,chrome 58.0,1600x900
Le|Android|chrome 62.0 for android|1024x768,Le,Android,chrome 62.0 for android,1024x768
